inspection_id,address,latitude,longitude,location,city,state,zip
2222692,4471 W LAWRENCE AVE,41.96799335620968,-87.74072634914224,"(41.96799335620968, -87.74072634914224)",CHICAGO,IL,60630
2166729,5350 W 38TH ST,41.823776,-87.7573204,"(41.823776,-87.7573204)",CICERO,IL,60804
2214009,1017 S DELANO CT,41.8682202,-87.6328072,"(41.8682202,-87.6328072)",CHICAGO,IL,60605
2169222,6237 S HALSTED PKWY,41.7804872,-87.6422731,"(41.7804872,-87.6422731)",CHICAGO,IL,60621
2166852,1020 W DEVON,41.9927051,-87.9994831,"(41.9927051,-87.9994831)",ELK GROVE VILLAGE,IL,60007
2181740,522 N MILWAUKEE AVE,41.89173286514732,-87.64865419293943,"(41.89173286514732, -87.64865419293943)",CHICAGO,IL,60642
2184414,25553 WOLFS CROSSING RD,41.6985586,-88.2440551,"(41.6985586,-88.2440551)",PLAINFIELD,IL,60585
2177099,950 ESTES CT,42.0027309,-88.1025879,"(42.0027309,-88.1025879)",SCHAUMBURG,IL,60193
2169606,6237 S HALSTED PKWY,41.7804872,-87.6422731,"(41.7804872,-87.6422731)",CHICAGO,IL,60621
2181226,239 GOLF MILL CENTER STE 322,42.050456,-87.8368115,"(42.050456,-87.8368115)",NILES NILES,IL,60714
2182044,951 W WISE RD,42.0043921,-88.1026741,"(42.0043921,-88.1026741)",SCHAUMBURG,IL,60193
2177103,239 GOLF MILL CENTER STE 322,42.050456,-87.8368115,"(42.050456,-87.8368115)",NILES NILES,IL,60714
2169216,6040 N Kilpatrick AVE,41.9912004,-87.7464722,"(41.9912004,-87.7464722)",CHICAGO,IL,60646
2169328,8601 W FOSTER AVE,41.9728267,-87.841588,"(41.9728267,-87.841588)",CHICAGO,IL,60656
2159283,1223 N ROSSELL,41.9076607,-87.786107,"(41.9076607,-87.786107)",OAK PARK,IL,60302
2181395,522 N MILWAUKEE AVE,41.89173286514732,-87.64865419293943,"(41.89173286514732, -87.64865419293943)",CHICAGO,IL,60642
2170127,1460 N KINGSBURY ST,41.907542938729264,-87.6515037774827,"(41.907542938729264, -87.6515037774827)",CHICAGO,IL,60642
2159820,2332 S Western,41.849557,-87.68695629999999,"(41.849557,-87.68695629999999)",CHICAGO,IL,60608
2181528,1010 S DELANO CT,41.8682202,-87.6328072,"(41.8682202,-87.6328072)",CHICAGO,IL,60605
2117185,5114 S Elizabeth ST,41.8000688,-87.6565647,"(41.8000688,-87.6565647)",CHICAGO,IL,60609
2166747,5350 W 38TH ST,41.823776,-87.7573204,"(41.823776,-87.7573204)",CICERO,IL,60804
2181393,522 N MILWAUKEE AVE,41.89173286514732,-87.64865419293943,"(41.89173286514732, -87.64865419293943)",CHICAGO,IL,60642
2177149,4000 N O'HARE FIELD,41.9802588,-87.9089858,"(41.9802588,-87.9089858)",CHICAGO,IL,60666
2176724,5516 S Maplewood AVE,41.7928811,-87.6882064,"(41.7928811,-87.6882064)",CHICAGO,IL,60629
2169352,1438 W CORTLAND ST,41.916996072966775,-87.6645967198223,"(41.916996072966775, -87.6645967198223)",CHICAGO,IL,60642
2181738,522 N MILWAUKEE AVE,41.89173286514732,-87.64865419293943,"(41.89173286514732, -87.64865419293943)",CHICAGO,IL,60642
2176599,5516 S Maplewood AVE,41.7928811,-87.6882064,"(41.7928811,-87.6882064)",CHICAGO,IL,60629
2150895,1744 W Pryor,41.6908645,-87.6629395,"(41.6908645,-87.6629395)",CHICAGO,IL,60643
2170068,1625 CHICAGO AVE,42.047065,-87.6789663,"(42.047065,-87.6789663)",EVANSTON,IL,60201
2045300,1625 CHICAGO AVE,42.047065,-87.6789663,"(42.047065,-87.6789663)",EVANSTON,IL,60201
2176826,5516 S Maplewood AVE,41.7928811,-87.6882064,"(41.7928811,-87.6882064)",CHICAGO,IL,60629
2167124,4934 S Wabash,41.8046516,-87.6255393,"(41.8046516,-87.6255393)",CHICAGO,IL,60615
2130083,3355 S DR. MARTIN LUTHER KING DR,41.833293768956864,-87.6168573403182,"(41.833293768956864, -87.6168573403182)",CHICAGO,IL,60616
